排名,名称,实时（综合）票房（万）,实时（分账）票房（万）,上映时间（天）,总票房（综合）,总票房（分账）,综合票房占比（%）,分账票房占比（%）,排片场次,排片占比（%）,场均人次,上座率（%）
1,第二十条,1305.75,1188,16,19.88亿,18.05亿,28.5,28.6,113131,27.2,2.6,1.8
2,飞驰人生2,1154.19,1046.4,16,30.00亿,27.19亿,25.2,25.2,114650,27.5,2.2,1.7
3,熊出没・逆转时空,1007.35,914.18,16,17.83亿,16.26亿,22,22,60740,14.6,3.8,3.3
4,热辣滚烫,859.39,780.46,16,32.43亿,29.46亿,18.8,18.8,102828,24.7,1.9,1.5
5,阿盖尔：神秘特工,66.93,60.25,3,784.2万,703.9万,1.4,1.4,7269,1.7,2,1.7
6,还是觉得你最好2,62.36,56.01,2,765.4万,692.5万,1.3,1.3,13427,3.2,1.2,1.1
7,泰勒・斯威夫特：时代巡回演唱会,42.52,40.26,57,9754.5万,8880.5万,0.9,0.9,165,<0.1,54,24.7
8,周处除三害,42.05,37.6,点映,119.1万,108.0万,0.9,0.9,794,0.1,12.1,12.4
9,孤军,10.39,10.39,60,2682.7万,2682.1万,0.2,0.2,44,<0.1,62.9,59.5
10,舒克贝塔・五角飞碟,2.94,2.61,58,6584.5万,5982.8万,<0.1,<0.1,247,<0.1,3,2.9
11,年会不能停！,2.35,2.11,59,12.92亿,11.55亿,<0.1,<0.1,418,0.1,1.3,1.4
12,北极荒原,1.63,1.52,展映,27.7万,25.7万,<0.1,<0.1,2,<0.1,190.5,56
13,初恋这首情歌,1.45,1.36,重映,73.6万,66.7万,<0.1,<0.1,3,<0.1,98,--
14,八戒之天蓬下界,1.18,1.07,16,353.8万,321.1万,<0.1,<0.1,299,<0.1,1,0.9
15,海王2：失落的王国,1.12,0.97,68,4.65亿,4.12亿,<0.1,<0.1,180,<0.1,1.5,1.7
16,旺卡,0.75,0.6,80,5384.0万,4749.5万,<0.1,<0.1,43,<0.1,4.3,5
17,爱乐之城,0.7,0.54,重映,2.78亿,2.57亿,<0.1,<0.1,38,<0.1,3.7,6.4
18,临时劫案,0.58,0.53,38,2.37亿,2.12亿,<0.1,<0.1,163,<0.1,1,0.9
19,天降大任,0.41,0.38,51,3208.6万,3079.1万,<0.1,<0.1,9,<0.1,7.9,10.6
20,小行星猎人,0.35,0.3,45,232.5万,208.0万,<0.1,<0.1,24,<0.1,2.9,1.8
21,开心超人之时空营救,0.22,0.19,37,2582.4万,2311.4万,<0.1,<0.1,44,<0.1,1.5,1.4
22,金手指,0.18,0.16,58,5.74亿,5.17亿,<0.1,<0.1,37,<0.1,1.3,1.5
23,狗神,0.18,0.14,73,1744.1万,1546.1万,<0.1,<0.1,12,<0.1,4.3,5.3
24,养蜂人,0.17,0.16,45,1.14亿,1.02亿,<0.1,<0.1,66,<0.1,0.7,0.7
25,汉文皇后（戏曲 越剧）,0.11,0.08,70,54.8万,50.7万,<0.1,<0.1,1,<0.1,28,40
26,玩转门神,0.11,0.1,52,13.8万,13.8万,<0.1,<0.1,2,<0.1,15,31.2
27,破战,0.08,0.07,10,8.3万,7.6万,<0.1,<0.1,724,0.1,<0.1,0
28,照明商店,0.08,0.07,80,2.75亿,2.50亿,<0.1,<0.1,37,<0.1,0.5,0.7
29,浙南儿女英雄传之热血长虹,0.05,0.05,32,11.3万,11.2万,<0.1,<0.1,1,<0.1,15,9.2
30,蜡笔小新：新次元！超能力大决战,0.05,0.04,93,1.19亿,1.03亿,<0.1,<0.1,4,<0.1,4.8,3.8
31,西南东北客,0.04,0.03,2,3984,3448,<0.1,<0.1,54,<0.1,0.2,0.1
32,动物园里有什么？,0.04,0.03,45,1.08亿,9789.2万,<0.1,<0.1,22,<0.1,0.6,0.5
33,潜行,0.04,0.03,59,3.89亿,3.50亿,<0.1,<0.1,15,<0.1,0.7,1.1
34,人民万岁,0.04,0.03,62,1671.8万,1652.1万,<0.1,<0.1,7,<0.1,1.3,1
35,大雨,0.03,0.03,45,1728.3万,1588.4万,<0.1,<0.1,11,<0.1,0.8,0.8
36,江豚・风时舞,0.02,0.02,37,767.9万,708.0万,<0.1,<0.1,14,<0.1,0.4,0.3
37,森巴幸福岛之我要回家,0.02,0.02,30,36.5万,32.3万,<0.1,<0.1,5,<0.1,1.4,1.1
38,一闪一闪亮星星,0.02,0.02,58,7.02亿,6.27亿,<0.1,<0.1,22,<0.1,0.3,0.3
39,消失的收藏家,0.01,0.01,66,65.9万,58.5万,<0.1,<0.1,12,<0.1,0.5,0.5
40,吾爱敦煌,0.01,0.01,101,844.7万,824.2万,<0.1,<0.1,1,<0.1,4,12.5
41,三大队,0.01,0.01,73,7.05亿,6.42亿,<0.1,<0.1,10,<0.1,0.4,0.6
42,我们一起摇太阳,0.01,0.01,重映,9337.1万,8369.8万,<0.1,<0.1,1,<0.1,4,3.7
43,非诚勿扰3,0.01,0.01,58,1.02亿,9174.6万,<0.1,<0.1,7,<0.1,0.4,0.4
44,功夫熊猫,0.01,0.01,重映,1.86亿,1.86亿,<0.1,<0.1,1,<0.1,4,2.6
45,怒潮,0.01,0.01,72,2.29亿,2.08亿,<0.1,<0.1,1,<0.1,3,4.7
46,绝地重生,0,0,点映,22.8万,22.7万,<0.1,<0.1,1,<0.1,1,0.8
